timestamp,cpu_utilization,gpu1_utilization
2024-02-29 06:27:33,3.3,61.0
2024-02-29 06:27:35,3.4,55.00000000000001
2024-02-29 06:27:38,3.2,34.0
2024-02-29 06:27:41,3.1,52.0
2024-02-29 06:27:43,4.2,49.0
2024-02-29 06:27:45,3.5,49.0
2024-02-29 06:27:47,3.4,45.0
2024-02-29 06:27:50,3.8,59.0
2024-02-29 06:27:52,3.2,36.0
2024-02-29 06:27:54,3.2,55.00000000000001
2024-02-29 06:27:56,3.6,32.0
2024-02-29 06:27:58,3.2,46.0
2024-02-29 06:28:01,3.4,35.0
2024-02-29 06:28:04,3.2,60.0
2024-02-29 06:28:06,3.2,53.0
2024-02-29 06:28:09,4.0,30.0
2024-02-29 06:28:11,3.0,55.00000000000001
2024-02-29 06:28:13,3.4,44.0
2024-02-29 06:28:15,3.9,52.0
2024-02-29 06:28:18,3.2,46.0
2024-02-29 06:28:20,3.3,25.0
2024-02-29 06:28:23,3.4,54.0
2024-02-29 06:28:26,3.4,69.0
2024-02-29 06:28:28,4.3,47.0
2024-02-29 06:28:30,3.5,54.0
2024-02-29 06:28:32,3.3,36.0
2024-02-29 06:28:35,3.9,66.0
2024-02-29 06:28:37,3.5,44.0
2024-02-29 06:28:39,3.1,39.0
2024-02-29 06:28:41,3.8,64.0
2024-02-29 06:28:43,3.3,43.0
2024-02-29 06:28:46,3.2,20.0
2024-02-29 06:28:49,3.2,55.00000000000001
2024-02-29 06:28:51,3.2,43.0
2024-02-29 06:28:54,4.0,50.0
2024-02-29 06:28:56,3.2,53.0
2024-02-29 06:28:58,3.3,54.0
2024-02-29 06:29:00,2.4,0.0
2024-02-29 06:29:03,2.5,0.0
2024-02-29 06:29:05,2.3,13.0
2024-02-29 06:29:08,3.3,47.0
2024-02-29 06:29:10,3.0,42.0
2024-02-29 06:29:12,3.7,52.0
2024-02-29 06:29:14,3.3,50.0
2024-02-29 06:29:17,3.2,63.0
2024-02-29 06:29:19,3.4,36.0
2024-02-29 06:29:21,3.3,53.0
2024-02-29 06:29:23,3.4,47.0
2024-02-29 06:29:27,3.4,48.0
2024-02-29 06:29:29,3.3,39.0
2024-02-29 06:29:31,3.9,47.0
2024-02-29 06:29:33,3.3,40.0
2024-02-29 06:29:36,3.3,55.00000000000001
2024-02-29 06:29:38,3.7,52.0
2024-02-29 06:29:40,3.1,57.99999999999999
2024-02-29 06:29:42,3.6,62.0
2024-02-29 06:29:46,3.3,45.0
2024-02-29 06:29:48,3.5,53.0
2024-02-29 06:29:50,4.0,51.0
2024-02-29 06:29:53,3.5,37.0
2024-02-29 06:29:55,3.0,0.0
2024-02-29 06:29:57,3.4,44.0
2024-02-29 06:29:59,3.3,24.0
2024-02-29 06:30:01,3.3,40.0
2024-02-29 06:30:05,3.2,39.0
2024-02-29 06:30:07,3.3,53.0
2024-02-29 06:30:09,3.9,46.0
2024-02-29 06:30:12,3.3,59.0
2024-02-29 06:30:14,3.2,55.00000000000001
2024-02-29 06:30:16,3.6,56.00000000000001
2024-02-29 06:30:18,3.6,42.0
2024-02-29 06:30:21,3.3,50.0
2024-02-29 06:30:24,3.2,55.00000000000001
2024-02-29 06:30:26,3.1,50.0
2024-02-29 06:30:29,4.2,51.0
2024-02-29 06:30:31,3.2,53.0
2024-02-29 06:30:33,3.3,37.0
2024-02-29 06:30:35,3.7,40.0
2024-02-29 06:30:37,3.3,51.0
2024-02-29 06:30:40,3.1,55.00000000000001
2024-02-29 06:30:42,3.8,56.99999999999999
2024-02-29 06:30:44,3.3,55.00000000000001
2024-02-29 06:30:46,3.5,42.0
2024-02-29 06:30:50,3.3,54.0
2024-02-29 06:30:52,3.3,60.0
2024-02-29 06:30:54,4.1,51.0
2024-02-29 06:30:57,3.3,59.0
2024-02-29 06:30:59,3.2,36.0
2024-02-29 06:31:01,3.8,53.0
2024-02-29 06:31:03,3.4,38.0
2024-02-29 06:31:05,3.2,46.0
2024-02-29 06:31:09,3.4,36.0
2024-02-29 06:31:11,3.3,64.0
2024-02-29 06:31:14,4.1,55.00000000000001
2024-02-29 06:31:16,3.3,46.0
2024-02-29 06:31:18,3.4,49.0
2024-02-29 06:31:20,3.8,33.0
2024-02-29 06:31:23,3.4,49.0
2024-02-29 06:31:25,3.2,49.0
2024-02-29 06:31:28,3.4,56.99999999999999
2024-02-29 06:31:31,3.3,51.0
2024-02-29 06:31:33,4.4,49.0
2024-02-29 06:31:35,3.8,48.0
2024-02-29 06:31:37,3.3,50.0
2024-02-29 06:31:39,3.3,63.0
2024-02-29 06:31:42,2.3,0.0
2024-02-29 06:31:44,2.3,16.0
2024-02-29 06:31:46,2.2,0.0
2024-02-29 06:31:48,2.5,51.0
2024-02-29 06:31:50,3.5,63.0
2024-02-29 06:31:53,3.1,47.0
2024-02-29 06:31:56,2.9,45.0
2024-02-29 06:31:58,3.5,56.99999999999999
2024-02-29 06:32:00,3.9,0.0
2024-02-29 06:32:02,3.8,0.0
2024-02-29 06:32:06,2.2,0.0
2024-02-29 06:32:08,2.1,0.0
2024-02-29 06:32:10,2.1,0.0
2024-02-29 06:32:12,1.9,0.0
2024-02-29 06:32:16,0.6,0.0
2024-02-29 06:32:18,0.1,0.0
2024-02-29 06:32:20,0.0,0.0
2024-02-29 06:32:23,0.7,0.0
